id,careerPageId,careerPageName,type,publishedDate,applicationDeadline,isRemoteWork,city,state,country,badges,disabilities,workplaceType
9368720,12814,Montreal | Tecnologia e Inovação,vacancy_type_effective,2025-06-17T21:50:59.534Z,2025-08-15T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},True,remote
9364576,137587,MJV Technology & Innovation,vacancy_type_effective,2025-06-17T21:22:30.359Z,2025-08-15T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,{'friendlyBadge': False},True,hybrid
9374948,117226,VENHA SER #SANGUELARANJA 🧡🚀,vacancy_type_effective,2025-06-17T21:14:53.087Z,2025-08-16T00:00:00.000Z,False,Belo Horizonte,Minas Gerais,Brasil,{'friendlyBadge': True},True,hybrid
9343148,126928,ipsosbrasil,vacancy_type_effective,2025-06-17T20:59:59.326Z,2025-08-10T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,{'friendlyBadge': True},True,hybrid
9374788,172604,Stoque,vacancy_type_talent_pool,2025-06-17T19:29:41.898Z,2025-07-31T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,{'friendlyBadge': False},True,on-site
9346388,163994,Suzano,vacancy_type_effective,2025-06-17T19:24:25.012Z,2025-06-27T00:00:00.000Z,False,,São Paulo,Brasil,{'friendlyBadge': True},False,hybrid
9373099,50170,Darede,vacancy_legal_entity,2025-06-17T18:54:45.010Z,2025-08-31T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},True,remote
9377971,56407,MESHA TECNOLOGIA,vacancy_type_effective,2025-06-17T18:30:04.324Z,2025-08-31T00:00:00.000Z,False,Maceió,Alagoas,Brasil,{'friendlyBadge': False},True,hybrid
9368938,12814,Montreal | Tecnologia e Inovação,vacancy_type_effective,2025-06-17T18:20:36.115Z,2025-08-15T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},True,remote
9377714,4010,Grupo Vamos,vacancy_type_internship,2025-06-17T18:09:15.607Z,2025-08-16T00:00:00.000Z,False,Mogi das Cruzes,São Paulo,Brasil,{'friendlyBadge': True},True,on-site
9377600,75613,Movida Aluguel de Carros,vacancy_type_internship,2025-06-17T18:00:26.292Z,2025-08-16T00:00:00.000Z,False,Mogi das Cruzes,São Paulo,Brasil,{'friendlyBadge': True},True,on-site
9377111,116369,Confidencial,vacancy_type_effective,2025-06-17T17:28:57.323Z,2025-11-30T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},False,remote
9376784,1015,Wilson Sons,vacancy_type_effective,2025-06-17T16:48:49.846Z,2025-08-30T00:00:00.000Z,False,Rio de Janeiro,Rio de Janeiro,Brasil,{'friendlyBadge': True},True,hybrid
9373477,2015,Estácio,vacancy_type_lecturer,2025-06-17T16:06:49.901Z,2025-08-16T00:00:00.000Z,False,Manaus,Amazonas,Brasil,{'friendlyBadge': True},True,on-site
9375986,107986,Libbs Farmacêutica,vacancy_type_effective,2025-06-17T15:15:07.298Z,2025-06-27T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': False},True,remote
9301112,2452,Lanlink Informática,vacancy_type_effective,2025-06-17T14:48:34.646Z,2025-10-31T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},True,remote
9334749,596,GPA,vacancy_type_effective,2025-06-17T14:04:54.417Z,2025-08-09T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,{'friendlyBadge': True},True,on-site
9371004,1410,Leega Consultoria,vacancy_type_effective,2025-06-17T13:12:18.191Z,2025-08-15T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},False,remote
9373517,62646,Grupo Panvel,vacancy_type_internship,2025-06-17T12:45:20.465Z,2025-07-21T00:00:00.000Z,False,Eldorado do Sul,Rio Grande do Sul,Brasil,{'friendlyBadge': False},True,on-site
9373449,12814,Montreal | Tecnologia e Inovação,vacancy_type_effective,2025-06-17T12:43:36.202Z,2025-08-16T00:00:00.000Z,False,Rio de Janeiro,Rio de Janeiro,Brasil,{'friendlyBadge': True},True,on-site
9356098,137488,Aliare,vacancy_type_effective,2025-06-17T11:45:32.382Z,2025-08-12T00:00:00.000Z,False,Rio Verde,Goiás,Brasil,{'friendlyBadge': True},True,on-site
9360255,120526,Radix Engenharia e Software,vacancy_type_effective,2025-06-17T11:20:58.458Z,2025-07-31T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': False},False,remote
9336259,176594,CapLink ,vacancy_type_internship,2025-06-16T23:31:54.548Z,2025-08-09T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': False},False,remote
9337693,94918,Grupo Autoglass Estágio,vacancy_type_effective,2025-06-16T21:14:07.001Z,2025-09-16T00:00:00.000Z,False,Vila Velha,Espírito Santo,Brasil,{'friendlyBadge': True},True,on-site
9347947,120526,Radix Engenharia e Software,vacancy_type_effective,2025-06-16T21:06:15.778Z,2025-08-11T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': False},True,remote
9370991,117562,Central IT,vacancy_type_effective,2025-06-16T21:02:32.944Z,2025-08-15T00:00:00.000Z,True,,,,{'friendlyBadge': True},True,remote
9370825,18787,VERT Capital,vacancy_type_effective,2025-06-16T20:08:16.558Z,2025-07-31T00:00:00.000Z,True,,,Brasil,{'friendlyBadge': True},False,remote
